date,Numeric score,Colour,Size,Line,author,title,Numeric score std err,Numeric score min,Numeric score max,Prediction,Probability,Prob std err,Prediction confidence,Key quote,Quote confidence,Rationale,description,cb,url,date_popup,unrelated
2022-07-12,0.795,#440154FF,9,,Andrew Bailey,"The economic landscape - structural change, global R * and the missing-investment puzzle",0.104,0.7,1,Raise,0.83,0.035,1,"Bringing inflation back down to the 2% target sustainably is our job, no ifs or buts.",0.4,"Although the speech covers numerous structural and long-term themes, the emphasis on vigilance against inflationary pressures and the readiness to act forcefully suggests a tilt towards further rate increases. This aligns with a somewhat hawkish stance.","Speech by Mr Andrew Bailey, Governor of the Bank of England, at the Official Monetary and Financial Institutions Forum, London, 12 July 2022.",BoE,http://www.bis.org/review/r220713d.htm,2022-07-12,No
2022-05-23,0.78,#440154FF,9,,Andrew Bailey,Oesterreichische Nationalbank monetary policy panel,0.132,0.7,1,Raise,0.82,0.048,1,We have raised the official rate four times so far and have made clear that in order to bring inflation down to target we are prepared to do so again based on the assessment at each of our meetings.,1,Andrew Bailey's speech emphasizes the importance of addressing inflation and clearly states that the Bank of England is prepared to raise rates further if necessary. The repeated emphasis on taking action to meet the inflation target and prior rate increases support a hawkish stance.,"Opening remarks by Mr Andrew Bailey, Governor of the Bank of England, at the Oesterreichische Nationalbank monetary policy panel at the Annual Economic Conference, Vienna, 23 May 2022.",BoE,http://www.bis.org/review/r220524a.htm,2022-05-23,No
2021-09-27,0.455,#440154FF,9,,Andrew Bailey,The hard yards,0.117,0.3,0.65,Hold,0.695,0.037,1,All of us believe that there will need to be some modest tightening of policy to be consistent with meeting the inflation target sustainably over the medium-term.,0.4,"The speech expresses awareness of inflation risks, but stresses the uncertainty of the economic recovery and views the inflationary pressures as temporary. Bailey suggests that tightening will be necessary but proposes a wait-and-see approach, which is indicative of a neutral stance.","Speech by Mr Andrew Bailey, Governor of the Bank of England, at the Society of Professional Economists Annual Dinner, 27 September 2021.",BoE,http://www.bis.org/review/r210928b.htm,2021-09-27,No
2021-07-01,0.345,#440154FF,9,,Andrew Bailey,"It's a recovery, but not as we know it",0.136,0.2,0.6,Hold,0.735,0.047,1,"It is important not to over-react to temporarily strong growth and inflation, to ensure that the recovery is not undermined by a premature tightening in monetary conditions.",0.9,"Andrew Bailey acknowledges rising inflation and the need to be cautious about inflation expectations. While he suggests inflation is temporary and emphasizes the importance of not tightening monetary policy prematurely, the careful monitoring and preparedness to use monetary tools reflect a somewhat hawkish stance. The overall tone advocates maintaining the current policy rate while being vigilant of inflationary pressures.","Speech by Mr Andrew Bailey, Governor of the Bank of England, Mansion House, London, 1 July 2021.",BoE,http://www.bis.org/review/r210702e.htm,2021-07-01,No
2021-03-08,0.42,#440154FF,9,,Andrew Bailey,Getting over covid,0.103,0.3,0.5,Hold,0.705,0.037,1,The Committee does not intend to tighten monetary policy at least until there is clear evidence that significant progress is being made in eliminating spare capacity and achieving the 2% inflation target sustainably.,0.2,"Andrew Bailey's speech acknowledges both positive and cautionary aspects of the economic recovery, focusing on a balanced view of demand and supply shocks due to Covid. He emphasizes the role of forward guidance and the need for a recovery in supply and demand, suggesting a neutral stance toward immediate policy changes.","Speech by Mr Andrew Bailey, Governor of the Bank of England, at the Resolution Foundation, Mansion House, London, 8 March 2021.",BoE,http://www.bis.org/review/r210310c.htm,2021-03-08,No
2021-02-05,0.325,#440154FF,9,,Andrew Bailey,Modern challenges for the modern central bank - perspectives from the Bank of England,0.127,0.2,0.5,Hold,0.72,0.067,1,The challenge currently is to raise the rate of inflation to target in the midst of a huge shock.,0.3,"Andrew Bailey's speech emphasizes the adaptation to larger shocks and the symmetrically important task of raising inflation to target, highlighting the use of accommodative monetary policy and supportive fiscal measures. This suggests a dovish stance aimed at supporting the economy through the pandemic-related challenges. However, the emphasis on independence and preparedness for future tightening prevents it from being classified as fully dovish.","Speech by Mr Andrew Bailey, Governor of the Bank of England, at the LSE German Symposium, virtual event, 5 February 2021.",BoE,https://www.bis.org/review/r210205a.htm,2021-02-05,No
2020-11-17,0.335,#440154FF,9,,Andrew Bailey,The future for business investment in the age of Covid and the role of financial services,0.088,0.25,0.5,Hold,0.66,0.046,1,"There is also a role for monetary policy here. As well as maintaining interest rates which are consistent with achieving the inflation target, in my view Quantitative Easing at a time like this can prevent an unwarranted tightening in financial conditions.",0.4,"The speech highlights the challenges of uncertainty and a lack of investment, but it also points out the resilience of the financial system and the role of QE in preventing tightening of financial conditions. The tone suggests caution, aiming to support the economy without aggressive policy changes, suggesting a likelihood to hold rates.","Speech by Mr Andrew Bailey, Governor of the Bank of England, at TheCityUK National Conference, virtual event, 17 November 2020.",BoE,https://www.bis.org/review/r201118e.htm,2020-11-17,No
2020-08-28,0.335,#440154FF,9,,Andrew Bailey,"The central bank balance sheet as a policy tool - past, present and future",0.186,0.2,0.8,Hold,0.655,0.06,1,The decision to 'go big' and to 'go fast' with QE in March 2020 - a period of market turmoil - may well have also avoided an undesirable tightening in those financial conditions.,0.2,"The speech provides a balanced discussion on the role of QE and its transmission channels without indicating a clear direction for immediate policy changes. There is consideration of the effectiveness of QE, but no strong signal toward easing or tightening monetary policy.","Speech by Mr Andrew Bailey, Governor of the Bank of England, at ""Navigating the Decade Ahead: Implications for Monetary Policy"", an economic policy symposium sponsored by the Federal Reserve Bank of Kansas City, Jackson Hole, Wyoming, 28 August 2020.",Fed,https://www.bis.org/review/r200901a.htm,2020-08-28,No
2024-07-10,0.485,#48186AFF,9,,Huw Pill,Transformation and conjuncture − remarks by Huw Pill,0.088,0.25,0.6,Hold,0.725,0.092,1,"The single punchline is that both we, the Bank, and you, the market, need to prepare ourselves for increased usage of both our short-term and long-term repo operations.",0.2,"The speech discusses a strategic move toward a repo-driven framework for managing reserves, without signaling an immediate change in interest rate policy. The focus is on operational adjustments rather than changes in monetary policy stance, indicating a neutral position.",,BoE,https://www.bankofengland.co.uk/speech/2024/july/huw-pill-speech-at-asia-house,2024-07-10,No
2023-04-04,0.805,#48186AFF,9,,Huw Pill,Inflation persistence and monetary policy,0.096,0.7,1,Raise,0.75,0.083,0.9,The onus remains on ensuring enough monetary tightening is delivered to 'see the job through' and sustainably return inflation to target.,0.2,"The speech emphasizes the importance of addressing persistent inflation and suggests that recent positive economic signs don't necessarily reduce the need for further tightening. With a nod towards data dependency, Pill indicates a readiness to increase rates if persistent inflation pressures don't ease.","Text for the International Centre for Monetary and Banking Studies (ICMB) by Mr Huw Pill, Chief Economist and Executive Director for Monetary Analysis of the Bank of England, at the Graduate Institute, Geneva, 4 April 2023.",BoE,http://www.bis.org/review/r230405b.htm,2023-04-04,No
2023-02-16,0.705,#48186AFF,9,,Huw Pill,Inflation is a 'wicked problem',0.028,0.65,0.75,Hold,0.628,0.051,0.9,"Given where we stand, I still choose to emphasise the MPC's need to be watchful for signs of greater-than-expected persistence in inflationary pressure.",0.4,"The speech emphasizes the importance of bringing inflation back to target but also acknowledges the significant tightening already undertaken. The emphasis on readiness to act on persistent inflationary pressure suggests a somewhat hawkish tilt, but the cautious tone of avoiding excessive tightening points towards holding rates for now.","Introductory remarks by Mr Huw Pill, Chief Economist and Executive Director for Monetary Analysis of the Bank of England, at the Warwick Think Tank, University of Warwick, Coventry, 16 February 2023.",BoE,http://www.bis.org/review/r230217f.htm,2023-02-16,No
2023-01-09,0.795,#48186AFF,9,,Huw Pill,UK Monetary policy outlook,0.117,0.7,1,Raise,0.815,0.053,1,Inflation in the United Kingdom is currently too high. Returning UK inflation to its 2% target on a lasting and sustainable basis is essential.,0.4,"The speech emphasizes the need to return inflation to target and indicates that the Bank of England is prepared to tighten monetary policy further if necessary. The emphasis on inflation persistence and the conditions in the labor market and energy prices suggest a somewhat hawkish stance, indicating a likely preference to raise rates to curb inflation.","Speech by Mr Huw Pill, Chief Economist and Executive Director for Monetary Analysis of the Bank of England, at the Money Market Association of New York University (Money Marketeers) Event, New York City, 9 January 2023.",BoE,http://www.bis.org/review/r230110f.htm,2023-01-09,No
2022-11-23,0.715,#48186AFF,9,,Huw Pill,Monetary policy and central bank asset purchases - substitutes and complements,0.067,0.6,0.85,Raise,0.8,0.05,0.9,"As I have said on previous occasions, in my judgment there is still some more to do with Bank Rate in order to address prevailing inflationary pressures and complete the necessary normalisation of monetary policy following a decade or more of exceptional accommodation.",0.4,The speech indicates a commitment to continue raising interest rates to combat inflationary pressures and complete monetary policy normalization. The mention of 'still some more to do with Bank Rate' suggests readiness for more rate hikes.,"Text of the Beesley Lecture by Mr Huw Pill, Chief Economist and Executive Director for Monetary Analysis of the Bank of England, at the Institute of Directors, London, 23 November 2022.",BoE,http://www.bis.org/review/r221124a.htm,2022-11-23,No
2022-10-12,0.865,#48186AFF,9,,Huw Pill,Monetary policy - an anchor in challenging times,0.111,0.7,1,Raise,0.825,0.035,1,"Given where we are, I continue to expect a significant monetary policy action at the MPC's next scheduled meeting.",0.8,"Huw Pill signals a readiness for a 'significant monetary policy response,' indicating a bias towards raising rates to combat persistent inflation and market volatility. The emphasis on tackling inflation and maintaining the credibility of the institutional framework indicates a somewhat hawkish stance.","Speech by Mr Huw Pill, Chief Economist and Executive Director for Monetary Analysis of the Bank of England, at the Scottish Council for Development and Industry, Glasgow, 12 October 2022.",BoE,http://www.bis.org/review/r221017c.htm,2022-10-12,No
2022-09-29,0.735,#48186AFF,9,,Huw Pill,Recent developments in the economy and markets,0.063,0.7,0.9,Raise,0.79,0.032,1,It is hard to avoid the conclusion that the fiscal easing announced last week will prompt a significant and necessary monetary policy response in November.,0.5,"Huw Pill highlights the impacts of recent fiscal easing and market developments which seem to indicate a need for a monetary policy response, likely an interest rate rise, to address inflationary pressures.","Speech by Mr Huw Pill, Chief Economist and Executive Director for Monetary Analysis of the Bank of England, at the Institute of Directors NI Annual Dinner, Holywood, County Down, 29 September 2022.",BoE,http://www.bis.org/review/r220930i.htm,2022-09-29,No
2022-07-06,0.84,#48186AFF,9,,Huw Pill,Returning inflation to target,0.107,0.7,1,Raise,0.835,0.041,1,Acting to achieve the 2% inflation target is now more important than ever.,0.3,"The speech emphasizes a strong commitment to addressing inflation and suggests a readiness to tighten monetary policy further if necessary. There is a focus on persistent inflationary pressures and willingness to act forcefully, indicating a hawkish stance.","Speech by Mr Huw Pill, Chief Economist and Executive Director for Monetary Analysis of the Bank of England, at the Kings College, London and Qatar Centre for Global Banking and Finance conference, London, 6 July 2022.",BoE,http://www.bis.org/review/r220707a.htm,2022-07-06,No
2022-06-24,0.66,#48186AFF,9,,Huw Pill,What did the monetarists ever do for us?,0.097,0.5,0.8,Raise,0.7,0.065,0.8,The current challenge for UK monetary policy is to contain those second round effects and return inflation to target as global energy and goods prices stabilise or revert in the coming years.,0.5,"Pill acknowledges the current elevated inflation largely stemming from external shocks and the necessity of addressing second-round effects. This suggests a somewhat hawkish stance, advocating preparedness to act 'forcefully' if required, pointing towards a likelihood to raise interest rates.","Speech by Mr Huw Pill, Chief Economist and Executive Director for Monetary Analysis of the Bank of England, at the Walter Eucken Institut / Stiftung Geld und Währung Conference ""Inflation and Debt: Challenges for Monetary Policy after Covid-19"", Freiburg (Germany), 24 June 2022.",BoE,http://www.bis.org/review/r220629b.htm,2022-06-24,No
2022-05-20,0.825,#48186AFF,9,,Huw Pill,The economic situation and monetary policy,0.089,0.7,0.9,Raise,0.83,0.035,1,"In my view, we still have some way to go in our monetary policy tightening, in order to make the return of inflation to target secure.",0.4,"Huw Pill emphasizes the need to continue tightening monetary policy due to high inflation rates well above the target, and expresses a priority to further raise rates to manage this inflation. His discussion on the persistence of inflationary pressures and incomplete transition suggests a likelihood of supporting rate hikes.","Speech by Mr Huw Pill, Chief Economist and Executive Director for Monetary Analysis of the Bank of England, at the Association of Chartered Certified Accountants (ACCA) Cymru Wales, Cardiff, 20 May 2022.",BoE,http://www.bis.org/review/r220523d.htm,2022-05-20,No
2022-02-09,0.665,#48186AFF,9,,Huw Pill,Monetary policy with a steady hand,0.118,0.5,0.9,Raise,0.711,0.07,0.9,We have signalled that more is to come in the coming months if the path sketched out in our February forecast plays out.,0.6,"While acknowledging uncertainty, the speaker emphasizes the likelihood of further rate hikes due to continued inflationary pressures and describes a measured but ongoing tightening of monetary policy.","Speech by Mr Huw Pill, Chief Economist and Executive Director for Monetary Analysis of the Bank of England, given at the Society of Professional Economists online conference 2022, 9 February 2022.",BoE,http://www.bis.org/review/r220211g.htm,2022-02-09,No
2024-11-25,0.685,#472D7BFF,9,,Clare Lombardelli,"Managing the present, shaping the future - speech by Clare Lombardelli",0.067,0.5,0.75,Hold,0.613,0.023,0.8,"The optimal strategy for a policymaker under the uncertainties likely to be evident going forward, of increased volatility that is upward-inflation-biased, is an activist one, rather than the gradualist approach to policymaking.",0.4,"The speech discusses both the historical role of 'good policy' and 'good luck' in economic stability but emphasizes the need for ongoing vigilance and adaptation to new global and domestic sources of volatility. Given these uncertainties, the approach appears neutral, focused on maintaining stability rather than making immediate rate changes, suggesting a 'Hold' stance for the next interest rate meeting.","  In her first speech as Deputy Governor for Monetary Policy, Clare Lombardelli sets out her views on the UK economy and the risks to the outlook. She then presents the Bank's plan to implement the Bernanke Review. ",BoE,https://www.bankofengland.co.uk/speech/2024/november/clare-lombardelli-speech-at-the-3rd-boe-watchers-conference,2024-11-25,No
2024-04-19,0.3,#424086FF,9,,David Ramsden,Outlier or laggard - divergence and convergence in the UK's recent inflation performance,0.024,0.25,0.35,Hold,0.72,0.035,1,"Over the last few months, I have become more confident in the evidence that risks to persistence in domestic inflation pressures are receding, helped by improved inflation dynamics.",0.5,"Ramsden acknowledges improved inflation dynamics and reduced inflation persistence risks, suggesting a more dovish stance compared to previous positions. However, he maintains that policy should remain restrictive, implying a likelihood of holding rates steady at the next meeting.","Speech by Sir David Ramsden, Deputy Governor for Markets and Banking of the Bank of England, at the Peterson Institute of International Economics, Washington DC, 19 April 2024.",BoE,https://www.bis.org/review/r240426a.htm,2024-04-19,No
2024-02-27,0.545,#424086FF,9,,David Ramsden,"Bond trading, innovation and evolution - a Bank of England perspective",0.076,0.5,0.7,Hold,0.735,0.041,1,Let me summarise my position as one of a majority of MPC members who judged that maintaining Bank Rate at 5.25% was warranted at the time of our last announcement on 1 February.,0.4,"The speech covers the Bank's ongoing quantitative tightening and innovation efforts without suggesting immediate changes to the policy rate. Ramsden supports maintaining a balanced view, reflecting a cautious yet neutral stance on monetary policy.","Speech by Sir David Ramsden, Deputy Governor for Markets and Banking of the Bank of England, at the Association for Financial Markets in Europe (AFME) Bond Trading, Innovation and Evolution Forum, London, 27 February 2024.",BoE,https://www.bis.org/review/r240304d.htm,2024-02-27,No
2023-11-17,0.66,#424086FF,9,,David Ramsden,Back to the future,0.084,0.5,0.7,Hold,0.725,0.086,1,Given my assessment of the outlook and the risks I would not rule out having to respond to evidence of more persistent inflationary pressures by raising Bank Rate further in the future but I will continue to make my decisions meeting to meeting conditional on my assessment on developments in the economy and what they indicate about prospects for inflation.,0.2,"Ramsden emphasizes the need to maintain a restrictive policy stance for an extended period, indicating concern over inflation persistence. However, he does not explicitly advocate for an immediate rate hike, hence the likelihood of holding rates at the next meeting.","Speech by Sir David Ramsden, Deputy Governor for Markets and Banking of the Bank of England, at the Society of Professional Economists Annual Conference, hosted by Bloomberg Bank, London, 17 November 2023.",BoE,https://www.bis.org/review/r231120h.htm,2023-11-17,No
2023-11-16,0.62,#424086FF,9,,David Ramsden,Going with the flow - how liquidity risks have evolved in the higher rate environment,0.106,0.5,0.75,Hold,0.75,0.067,1,The MPC's latest projections indicate that monetary policy is likely to need to be restrictive for an extended period of time.,1,"The speech outlines a lack of intent to adjust interest rates for financial stability reasons and emphasizes the need for restrictive monetary policy to manage inflation, suggesting a somewhat hawkish stance. Given the context, a hold on rates is likely, allowing the central bank to assess the effects of current policies.","Speech (virtual) by Sir David Ramsden, Deputy Governor for Markets and Banking of the Bank of England, at the 7th Annual Conference of the European Systemic Risk Board ""Financial stability challenges ahead: emerging risks and regulation"", Frankfurt am Main, 16 November 2023.",BoE,https://www.bis.org/review/r231120i.htm,2023-11-16,No
2023-07-19,0.67,#424086FF,9,,David Ramsden,Quantitative tightening - the story so far,0.079,0.5,0.75,Raise,0.729,0.049,0.7,"If there is evidence of more persistent pressures, then further tightening in monetary policy would be required.",0.5,"Sir David Ramsden emphasizes the importance of addressing persistently high inflation, reflecting a hawkish stance. He suggests potential for increased gilt reduction and acknowledges the possibility of further monetary tightening if inflationary pressures persist. These comments suggest a preference towards raising interest rates to manage inflation.","Speech by Sir David Ramsden, Deputy Governor for Markets, Banking and Resolution of the Bank of England, at a Bank of England's event, organised by the Money Macro and Finance Society, London, 19 July 2023.",BoE,http://www.bis.org/review/r230724a.htm,2023-07-19,No
2022-11-24,0.845,#424086FF,9,,David Ramsden,That was the year that was,0.123,0.7,1,Raise,0.835,0.063,1,I expect that further increases in Bank rate are going to be required to ensure a sustainable return of inflation to target.,0.6,"The speech emphasizes concerns about persistent inflationary pressures, the need for further rate increases, and the readiness to respond forcefully to inflation risks, indicating a hawkish stance.","Speech by Sir David Ramsden, Deputy Governor for Markets, Banking and Resolution of the Bank of England, at the Bank of England Watchers' Conference, organised by the Money Macro Finance Society and King's Business School at King's College, London, 24 November 2022.",BoE,http://www.bis.org/review/r221125b.htm,2022-11-24,No
2022-10-07,0.895,#424086FF,9,,David Ramsden,"Shocks, inflation, and the policy response",0.06,0.75,1,Raise,0.855,0.037,1,In my view a faster policy tightening at the last MPC meeting would have helped to bring inflation back to the 2% target sustainably in the medium term and would reduce the risks of a more extended and costly tightening later.,0.4,"David Ramsden clearly signals a preference for tighter monetary policy, emphasizing the risk of above-target inflation expectations and his previous votes for aggressive rate hikes.","Speech by Sir David Ramsden, Deputy Governor for Markets, Banking and Resolution of the Bank of England, at the Securities Industry Conference, London, 7 October 2022.",BoE,http://www.bis.org/review/r221010b.htm,2022-10-07,No
2022-09-29,0.51,#424086FF,9,,David Ramsden,Message received and understood,0.032,0.5,0.6,Hold,0.685,0.047,1,I will conclude with a brief recap on UK financial market developments this week and highlight the use we are making of real-time data to respond to those developments to meet our objective for financial stability.,0.2,"The speech focuses on technical and structural issues like payments data and market developments rather than explicit monetary policy signals. Though financial stability concerns led to temporary interventions, there's no direct indication of changes to interest rates, suggesting a neutral stance.","Speech (remotely) by Sir David Ramsden, Deputy Governor for Markets, Banking and Resolution of the Bank of England, at a conference by the Bank of Lithuania and the Bank for International Settlements (BIS) on the ""Future of Central Banking"", 29 September 2022.",BoE,http://www.bis.org/review/r220930f.htm,2022-09-29,No
2021-07-14,0.67,#424086FF,9,,David Ramsden,Navigating the economy through the Covid crisis,0.14,0.5,1,Hold,0.643,0.079,0.7,I can envisage those conditions for considering tightening being met somewhat sooner than I had previously expected.,0.7,"David Ramsden highlighted that the economic outlook had improved and that inflation was overshooting, suggesting a diminished likelihood of spare capacity. Despite the somewhat hawkish tone, he indicated that conditions were not yet met for tightening, hinting at a 'hold' stance while watching economic developments closely.","Speech by Sir David Ramsden, Deputy Governor for Markets and Banking of the Bank of England, at The Strand Group, King's Business School, virtual, 14 July 2021.",BoE,http://www.bis.org/review/r210715b.htm,2021-07-14,No
2021-02-17,0.4,#424086FF,9,,David Ramsden,QE as an economic policy tool - what does it do and how should we use it?,0.131,0.25,0.6,Hold,0.68,0.042,1,"I continue to see the current stance of policy as appropriate, given the current degree of uncertainty around the health and economic outlook.",0.3,"The speech emphasizes understanding and assessing QE as a tool, with confidence in its effectiveness so far, suggesting no immediate aggressive policy changes. Ramsden expresses readiness for potential changes but no clear inclination towards immediate alteration of the policy rate, indicating a neutral stance in maintaining the current monetary policy approach.","Speech by Sir David Ramsden, Deputy Governor for Markets and Banking of the Bank of England, at the Peter Sinclair Town Hall lecture, University of Birmingham, 17 February 2021.",BoE,http://www.bis.org/review/r210303k.htm,2021-02-17,No
2020-11-17,0.265,#424086FF,9,,David Ramsden,The potential long-term economic effects of Covid,0.106,0.1,0.5,Hold,0.67,0.048,1,"Our view, as we spelt out in our Minutes, was that risk management considerations implied that policy should lean strongly against downside risks to the outlook.",0.4,"The speech reflects concerns about long-term economic scarring from the pandemic and highlights significant recent monetary easing measures as well as forward guidance indicating a high bar for policy tightening. While concerns about scarring and the large asset purchase program indicate dovish sentiment, the speech does not suggest an immediate further cut, hence predicting 'Hold'.","Speech by Sir David Ramsden, Deputy Governor for Markets and Banking of the Bank of England, at the Institute for Policy and Engagement at University of Nottingham, Nottingham, 17 November 2020.",BoE,https://www.bis.org/review/r201118c.htm,2020-11-17,No
2020-10-21,0.27,#424086FF,9,,David Ramsden,The monetary policy toolbox in the UK,0.026,0.25,0.3,Hold,0.695,0.05,1,"We have policy tools still available, and scope remaining to use those tools.",0.3,"The speech highlights the unprecedented nature of the COVID-19 crisis and the extensive use of the monetary policy toolbox, suggesting a cautious stance. Although the deputy governor indicates that there are still tools available, there is a significant emphasis on the uncertainties and potential headwinds facing the economy. This suggests a reluctance to cut rates further, especially given the concerns about negative rates, and an acknowledgment of having tools left, hinting at a bias towards holding the current policy rate.","Speech by Sir David Ramsden, Deputy Governor for Markets and Banking of the Bank of England, to the Society of Professional Economists, virtual, 21 October 2020.",BoE,https://www.bis.org/review/r201023b.htm,2020-10-21,No
