date,Numeric score,Colour,Size,Line,author,title,Numeric score std err,Numeric score min,Numeric score max,not_related,Prediction,Probability,Prob std err,Prediction confidence,Key quote,Quote confidence,Rationale,date_popup,unrelated
2025-04-17,0.715,#2F6C8EFF,3,,Junko Nakagawa,"Economic Activity, Prices, and Monetary Policy in Japan",0.024,0.7,0.75,FALSE,Raise,0.73,0.054,1,"If its outlook for economic activity and prices is realized, the Bank will accordingly continue to raise the policy interest rate and adjust the degree of monetary accommodation.",0.4,"The speech indicates that the economy has shown signs of recovery with improvement in corporate profits, private consumption, and exports. Inflation is also rising toward the target level. These factors, combined with the mention of potentially continuing to raise the policy interest rate if the economic outlook is realized, suggest a somewhat hawkish stance with the likelihood of a rate hike at the next meeting.",2025-04-17,No
2024-11-20,0.665,#2F6C8EFF,3,,Junko Nakagawa,"Economic Activity, Prices, and Monetary Policy in Japan",0.075,0.5,0.75,FALSE,Raise,0.721,0.049,0.7,The Bank judged it appropriate to raise the policy interest rate and adjust the degree of monetary accommodation from the perspective of sustainable and stable achievement of the 2 percent price stability target.,0.5,"The speaker acknowledges the need to raise the policy interest rate and highlights upside risks to inflation, suggesting a proactive approach to managing monetary conditions and aiming to achieve the 2 percent inflation target, which signifies a somewhat hawkish stance.",2024-11-20,No
2025-02-19,0.745,#2A788EFF,3,,Hajime Takata,"Economic Activity, Prices, and Monetary Policy in Japan",0.083,0.7,0.9,FALSE,Raise,0.79,0.046,1,"I consider it necessary for the Bank to shift gears as appropriate, that is, proceed with further adjustment of the degree of monetary accommodation if it is confirmed that prices are developing generally in line with the Bank's outlook.",0.5,"The speech indicates a positive economic outlook, with expectations of inflation closer to target and continued corporate behavior supporting economic growth. The speaker emphasizes the necessity of adjusting monetary policy, implying further tightening may be necessary to manage risks of inflation and market volatility.",2025-02-19,No
2025-05-22,0.641,Moving average,0.1,Moving average,NA,,,,,,,,,,,,,2025-05-22,No
2025-05-16,0.672,Moving average,0.1,Moving average,NA,,,,,,,,,,,,,2025-05-16,No
2025-04-17,0.714,Moving average,0.1,Moving average,NA,,,,,,,,,,,,,2025-04-17,No
2025-03-05,0.683,Moving average,0.1,Moving average,NA,,,,,,,,,,,,,2025-03-05,No
2025-02-19,0.697,Moving average,0.1,Moving average,NA,,,,,,,,,,,,,2025-02-19,No
2025-02-06,0.681,Moving average,0.1,Moving average,NA,,,,,,,,,,,,,2025-02-06,No
2025-01-30,0.657,Moving average,0.1,Moving average,NA,,,,,,,,,,,,,2025-01-30,No
2025-01-14,0.601,Moving average,0.1,Moving average,NA,,,,,,,,,,,,,2025-01-14,No
2024-12-20,0.617,Moving average,0.1,Moving average,NA,,,,,,,,,,,,,2024-12-20,No
2024-11-20,,Moving average,0.1,Moving average,NA,,,,,,,,,,,,,2024-11-20,No
2024-11-18,,Moving average,0.1,Moving average,NA,,,,,,,,,,,,,2024-11-18,No
2024-10-03,,Moving average,0.1,Moving average,NA,,,,,,,,,,,,,2024-10-03,No
2024-09-24,,Moving average,0.1,Moving average,NA,,,,,,,,,,,,,2024-09-24,No
2025-03-05,0.5,#808080,1,,Kazuo Ueda,Cross-border Capital Flows and the Role of the IMF and Central Banks in the Evolving International Monetary System,,,,TRUE,Hold,0.678,0.067,0.9,"Drawing lessons from this traumatic experience, Asian central banks and the IMF have both taken a variety of actions to deal with capital flows and prevent a financial crisis.",0.2,"The speech focuses on the benefits and risks of cross-border capital flows and the resilience of Asia to capital flow disruptions. While it recognizes the risks of geopolitical tensions, it also highlights the stability and improved frameworks in place. The balancing of risks and stability results in a neutral stance, suggesting no immediate urgency to change the policy rate.",2025-03-05,Yes
2024-11-21,0.5,#808080,1,,Kazuo Ueda,Opportunities and Challenges for Financial Intermediation Functions Brought about by Technological Advancements,,,,TRUE,Not related,,,1,"It is necessary to keep in mind, however, that technological advancements bring new risks to financial stability.",0.4,"The speech primarily focuses on the impact of technological advancements on the financial industry, without direct references to current monetary policy or the economic outlook that would influence interest rate decisions. Thus, the content is not directly related to monetary policy decision-making.",2024-11-21,Yes
2024-11-14,0.5,#808080,1,,Shinichi Uchida,Challenges to the Financial System during and after the Pandemic and a Way Forward,0,0.5,0.5,FALSE,Hold,0.725,0.042,1,"In an effort to contain this high inflation, many central banks started to raise policy interest rates at an unprecedented pace.",0.3,"The speech focuses on financial stability and lessons from the pandemic, with historical observations rather than direct implications for immediate monetary policy changes. The central bank's current stance is likely to remain cautious, thus suggesting a hold on rates.",2024-11-14,Yes
2025-01-31,0.5,#808080,1,,Hirohide Kouguchi,"How Will Digitalization Change Japan's Financial Services and Economy?(Keynote Speech at the Workshop Hosted by the Center for Advanced Financial Technology, Bank of Japan)",,,,TRUE,Not related,,,1,,0.2,"The speech is primarily focused on the impact of digitalization on Japan's financial services and economy. While it mentions financial stability, it lacks specific references to monetary policy direction, thus marking it as not directly related to central bank interest rate decisions.",2025-01-31,Yes
