Member,Date of remark,Remark,Significance,...5
Christine Lagarde,2024-06-06,<i>So what we’re doing here [...] is removing a degree of restriction [...] How long will that take? [...] I cannot tell you now. At what speed will it happen? I cannot tell you now either.</i>,"The ECB cut rates for the first time at its meeting on June 6, but Lagarde made clear that the path ahead for rates is uncertain.",NA
Robert Holzmann,2024-06-06,<i>Data-based decisions should be data-based decisions.</i>,Holzmann was the only voting member of the ECB governing council to vote to hold rates at the June meeting. He challenges Lagarde's narrative that the decision to cut was based on underlying data.,NA
Fabio Panetta,2024-05-31,"<i>When defining the path of policy rate cuts, it should be borne in mind that prompt and gradual action contains macroeconomic volatility better than a tardy and hasty approach.</i>","Panetta suggests that the ECB should cut rates gradually but steadily. This is a dovish comment, since it indicates that policymakers should consider cutting after June.",NA
Martins Kazaks,2024-05-29,"<i>As recession risks fade, barring a major surprise, the ‘insurance’ rate hike of September 2023 may now be reversed.</i>",,NA
Klaas Knot,2024-05-28,<i>Policy rates will slowly but gradually move to less restrictive levels [...] projection round meetings of the Governing Council will be the key meetings for our interest rate decisions.</i>,"Knot indicates that the ECB will only consider cutting rates at forecast meetings, which would mean three cuts at most in 2024.",NA
Olli Rehn,2024-05-27,"<i>Inflation is converging to our 2% target in a sustained way, and the time is thus ripe in June to ease the monetary policy stance and start cutting rates.</i>",,NA
Piero Cipollone,2024-05-26,"<i>Based on these data, we now consider the three interest rate cuts in 2024 as the most likely scenario.</i>",,NA
Joachim Nagel,2024-05-24,"<i>If there’s a rate cut in June, we have to wait, and I believe we have to wait till maybe September.</i>",Nagel pushes back on the idea of two consecutive rate cuts.,NA
Isabel Schnabel,2024-05-22,<i>We’re currently seeing a slight revival of the economy in the euro area [...] there’s reason for hope that we’ll succeed in returning to price stability without experiencing a recession.</i>,,NA
Pablo Hernandez de Cos,,,,NA
Pierre Wunsch,,,,NA
