date,Unemployment,Job vacancies,Period,size
2006-04-01,5.316003911380033,2.0971411224222467,2000-2007,1
2006-05-01,5.4164614486096125,2.0982833090173814,2000-2007,1
2006-06-01,5.472024396091444,2.1202094149092567,2000-2007,1
2006-07-01,5.505750624897326,2.127515050504123,2000-2007,1
2006-08-01,5.466979141138587,2.1324924554339666,2000-2007,1
2006-09-01,5.484364008257184,2.1402139261163122,2000-2007,1
2006-10-01,5.476114306927876,2.1640916543941424,2000-2007,1
2006-11-01,5.419934695188346,2.170329944409799,2000-2007,1
2006-12-01,5.501161477792313,2.169611476824788,2000-2007,1
2007-01-01,5.5101669231496775,2.166595741865833,2000-2007,1
2007-02-01,5.529639919083289,2.2037749789485184,2000-2007,1
2007-03-01,5.513792345550104,2.247392709402041,2000-2007,1
2007-04-01,5.472362723743263,2.2619811934618324,2000-2007,1
2007-05-01,5.389204240679378,2.2692190303191366,2000-2007,1
2007-06-01,5.350473974832039,2.2964885157278974,2000-2007,1
2007-07-01,5.3063443423374785,2.3333012939722817,2000-2007,1
2007-08-01,5.301809841002796,2.369824512928854,2000-2007,1
2007-09-01,5.310203060747317,2.3774165448588263,2000-2007,1
2007-10-01,5.239180086282845,2.380020264172535,2000-2007,1
2007-11-01,5.239374319183431,2.3937359636484694,2000-2007,1
2007-12-01,5.156635811104686,2.3757509076008225,2000-2007,1
2008-01-01,5.177153464224264,2.3457808850641646,2008-2012,1
2008-02-01,5.181249077602369,2.3689379885482023,2008-2012,1
2008-03-01,5.18266310714147,2.406807582836938,2008-2012,1
2008-04-01,5.314263425826598,2.3918147549811524,2008-2012,1
2008-05-01,5.17862596762944,2.33654234540813,2008-2012,1
2008-06-01,5.350487312053271,2.2633030286129387,2008-2012,1
2008-07-01,5.4867319728176955,2.217017307664525,2008-2012,1
2008-08-01,5.709657152397024,2.1574614976101967,2008-2012,1
2008-09-01,5.855465761254948,2.1289352415978025,2008-2012,1
2008-10-01,5.968079873542048,2.066702332308258,2008-2012,1
2008-11-01,6.162872927096283,1.947657704218235,2008-2012,1
2008-12-01,6.352929005636046,1.8285600398494237,2008-2012,1
2009-01-01,6.511283622963266,1.7267147916179437,2008-2012,1
2009-02-01,6.744485335649849,1.66386107665039,2008-2012,1
2009-03-01,7.071686526655942,1.6191180998699959,2008-2012,1
2009-04-01,7.274435145857681,1.589706266751661,2008-2012,1
2009-05-01,7.589926990382448,1.5616154363012842,2008-2012,1
2009-06-01,7.763804551934612,1.5197218464740319,2008-2012,1
2009-07-01,7.868461026869397,1.516831794491567,2008-2012,1
2009-08-01,7.8701608318974285,1.5468465660995083,2008-2012,1
2009-09-01,7.847418833007599,1.5399450804723733,2008-2012,1
2009-10-01,7.868379462128651,1.5253767071375237,2008-2012,1
2009-11-01,7.781220318886992,1.5426998489989856,2008-2012,1
2009-12-01,7.772685457320702,1.6024801026857955,2008-2012,1
2010-01-01,7.729149837181028,1.6400801080162415,2008-2012,1
2010-02-01,7.9196519747988585,1.6530177077132673,2008-2012,1
2010-03-01,8.009588227786994,1.6470933531069547,2008-2012,1
2010-04-01,7.952374644850579,1.6528879988226626,2008-2012,1
2010-05-01,7.922887180534972,1.6900347787282273,2008-2012,1
2010-06-01,7.852350236867624,1.7061846408342087,2008-2012,1
2010-07-01,7.8203221476526945,1.6829275885095185,2008-2012,1
2010-08-01,7.7820189564667865,1.6184282597093584,2008-2012,1
2010-09-01,7.754646182908054,1.5950241416544095,2008-2012,1
2010-10-01,7.897150188904469,1.5990357146911212,2008-2012,1
2010-11-01,7.871097815332814,1.6685266279777349,2008-2012,1
2010-12-01,7.863268417709233,1.698064333223926,2008-2012,1
2011-01-01,7.908611847097727,1.737420696836269,2008-2012,1
2011-02-01,7.802657866588847,1.716054721552961,2008-2012,1
2011-03-01,7.778467290916383,1.6916449306637473,2008-2012,1
2011-04-01,7.716984986429562,1.6537531437076445,2008-2012,1
2011-05-01,7.821958749931844,1.613648851038264,2008-2012,1
2011-06-01,7.940034547307839,1.6107356229590055,2008-2012,1
2011-07-01,8.012875580473649,1.6046360146543648,2008-2012,1
2011-08-01,8.181798809684974,1.6228634054840139,2008-2012,1
2011-09-01,8.333607498659042,1.6321278169945732,2008-2012,1
2011-10-01,8.372738965914781,1.6419140217172137,2008-2012,1
2011-11-01,8.468758371224633,1.624426365649444,2008-2012,1
2011-12-01,8.395780025546225,1.6334039467324843,2008-2012,1
2012-01-01,8.354295197897496,1.6716527103565981,2008-2012,1
2012-02-01,8.29103159979047,1.659521194103037,2008-2012,1
2012-03-01,8.213161066107507,1.6350211302848559,2008-2012,1
2012-04-01,8.176827493911595,1.6267318003082814,2008-2012,1
2012-05-01,8.08386434223751,1.6412887916423342,2008-2012,1
2012-06-01,7.995588062163899,1.6496185204968232,2008-2012,1
2012-07-01,8.04268267962918,1.6634959530859412,2008-2012,1
2012-08-01,7.894983728861236,1.674804726611014,2008-2012,1
2012-09-01,7.866293100692981,1.6892008487904748,2008-2012,1
2012-10-01,7.859119537973956,1.7007925485015705,2008-2012,1
2012-11-01,7.8281577916536875,1.7057465424638683,2008-2012,1
2012-12-01,7.823011486493208,1.7303886010702714,2008-2012,1
2013-01-01,7.832653474170281,1.7382093596111883,2013-2019,1
2013-02-01,7.987097887330847,1.7496346901351922,2013-2019,1
2013-03-01,7.857159207033983,1.752422828458931,2013-2019,1
2013-04-01,7.805548653978874,1.7818313884441903,2013-2019,1
2013-05-01,7.772640775140882,1.8066924873711505,2013-2019,1
2013-06-01,7.76381516695819,1.8412024067313533,2013-2019,1
2013-07-01,7.687799068028016,1.8577337819237676,2013-2019,1
2013-08-01,7.714890649069499,1.84626012799405,2013-2019,1
2013-09-01,7.636266155306899,1.8798413647579577,2013-2019,1
2013-10-01,7.387914250302842,1.8906593993190133,2013-2019,1
2013-11-01,7.189685714434292,1.9372627536464615,2013-2019,1
2013-12-01,7.241281106400063,1.9582699173992864,2013-2019,1
2014-01-01,7.183216079108832,1.9923157337369637,2013-2019,1
2014-02-01,6.911977407789036,2.025141451543241,2013-2019,1
2014-03-01,6.777945259053121,2.090020508326238,2013-2019,1
2014-04-01,6.61238361149815,2.160631269507812,2013-2019,1
2014-05-01,6.453555260187905,2.2009305318577277,2013-2019,1
2014-06-01,6.315517012332829,2.229515424772608,2013-2019,1
2014-07-01,6.170389818295413,2.2573150165772624,2013-2019,1
2014-08-01,6.047006697566006,2.2909480471181745,2013-2019,1
2014-09-01,6.0097459486636655,2.3047295233600966,2013-2019,1
2014-10-01,5.9852686129399295,2.3587189508418107,2013-2019,1
2014-11-01,5.901994107370588,2.3582915380468346,2013-2019,1
2014-12-01,5.730869331156114,2.3706934871123178,2013-2019,1
2015-01-01,5.6877150426997485,2.3801306691737376,2013-2019,1
2015-02-01,5.616600060956486,2.4082108917641625,2013-2019,1
2015-03-01,5.570999984225721,2.43385442156499,2013-2019,1
2015-04-01,5.539525019872536,2.4196796344164033,2013-2019,1
2015-05-01,5.653769850603223,2.426250009344567,2013-2019,1
2015-06-01,5.645870125670564,2.432876439138063,2013-2019,1
2015-07-01,5.556804913341448,2.4652930160444666,2013-2019,1
2015-08-01,5.431446882648432,2.4649741131209177,2013-2019,1
2015-09-01,5.359786230928332,2.4533539931564334,2013-2019,1
2015-10-01,5.216013372944242,2.4455169515908435,2013-2019,1
2015-11-01,5.12435301672065,2.442233675488843,2013-2019,1
2015-12-01,5.122918388864101,2.4555309435575148,2013-2019,1
2016-01-01,5.114472245495485,2.468416122035334,2013-2019,1
2016-02-01,5.1594708915590735,2.4590971273668973,2013-2019,1
2016-03-01,5.118533890711316,2.45820404072876,2013-2019,1
2016-04-01,5.055781245366769,2.4355899698072188,2013-2019,1
2016-05-01,4.988816428914203,2.4389617892930824,2013-2019,1
2016-06-01,4.972344234491539,2.4392286295860974,2013-2019,1
2016-07-01,4.9458165301871855,2.438579622366848,2013-2019,1
2016-08-01,5.03613754305266,2.4550107045975396,2013-2019,1
2016-09-01,4.893248871952648,2.459038396464001,2013-2019,1
2016-10-01,4.8844867109262715,2.4981772286606434,2013-2019,1
2016-11-01,4.85075624848919,2.474294431114011,2013-2019,1
2016-12-01,4.799875357467026,2.460042154370024,2013-2019,1
2017-01-01,4.766043732649967,2.4377068934472774,2013-2019,1
2017-02-01,4.700625671759035,2.4863994924100052,2013-2019,1
2017-03-01,4.624537745009573,2.5038249904921224,2013-2019,1
2017-04-01,4.602643078580037,2.5682681219969568,2013-2019,1
2017-05-01,4.508927130595797,2.54663402050332,2013-2019,1
2017-06-01,4.48997820836026,2.5395047261443016,2013-2019,1
2017-07-01,4.40342447027653,2.5271291667613536,2013-2019,1
2017-08-01,4.395169800578921,2.560018801449558,2013-2019,1
2017-09-01,4.335491978195331,2.5866844018371538,2013-2019,1
2017-10-01,4.313318316781058,2.6226604060446768,2013-2019,1
2017-11-01,4.342826441289445,2.635653191935313,2013-2019,1
2017-12-01,4.42444700092849,2.644162223479883,2013-2019,1
2018-01-01,4.379500954869241,2.629652320051797,2013-2019,1
2018-02-01,4.288017773616434,2.6170426511400806,2013-2019,1
2018-03-01,4.274113042305185,2.6134246332427296,2013-2019,1
2018-04-01,4.266237856866327,2.5990609153860493,2013-2019,1
2018-05-01,4.243996732153388,2.6293125369336745,2013-2019,1
2018-06-01,4.116784462747577,2.6670821159962737,2013-2019,1
2018-07-01,4.102721693349543,2.683725111776189,2013-2019,1
2018-08-01,4.117392855416259,2.697881086757768,2013-2019,1
2018-09-01,4.157183324503743,2.710315084380342,2013-2019,1
2018-10-01,4.140247039035031,2.7616170264940716,2013-2019,1
2018-11-01,4.125151854732951,2.752895530329196,2013-2019,1
2018-12-01,4.100749194981063,2.7305815854873163,2013-2019,1
2019-01-01,4.018891922511276,2.7170606526430534,2013-2019,1
2019-02-01,4.031040900364894,2.6903667970494016,2013-2019,1
2019-03-01,3.908931252769835,2.6859714160511237,2013-2019,1
2019-04-01,3.9224697045588903,2.6675667799144036,2013-2019,1
2019-05-01,3.889124930982247,2.653380401865425,2013-2019,1
2019-06-01,3.9871362969468422,2.6097450993384235,2013-2019,1
2019-07-01,3.8929447517207865,2.6052107705950083,2013-2019,1
2019-08-01,3.9594887031302344,2.59431950983341,2013-2019,1
2019-09-01,3.930642072554896,2.5975646719772785,2013-2019,1
2019-10-01,3.8554351389266732,2.5776736618853726,2013-2019,1
2019-11-01,3.917185583428595,2.558233085011856,2013-2019,1
2019-12-01,3.867960024016349,2.5598074065297056,2013-2019,1
2020-01-01,4.012544058990245,2.56303851625069,2020,1
2020-02-01,4.061302448714453,2.5811648711970365,2020,1
2020-03-01,4.104415112520945,2.5146448805847337,2020,1
2020-04-01,4.15417205778978,2.025275051110375,2020,1
2020-05-01,4.220977214546936,1.4998066968884616,2020,1
2020-06-01,4.219100632927584,1.0469573790673257,2020,1
2020-07-01,4.443064982490371,1.1787963856377748,2020,1
2020-08-01,4.660433461814261,1.3714358808705427,2020,1
2020-09-01,4.986489337055837,1.5774679373203098,2020,1
2020-10-01,5.1657507789923525,1.723869267425805,2020,1
2020-11-01,5.238038097172096,1.8042712965470984,2020,1
2020-12-01,5.335601933521931,1.9472306950837275,2020,1
2021-01-01,5.256006665969473,1.9966586871512846,2021-2022,1
2021-02-01,5.176619934951873,2.0057724257065606,2021-2022,1
2021-03-01,5.06113971500348,2.0224976696045225,2021-2022,1
2021-04-01,5.010870340634848,2.128190299353379,2021-2022,1
2021-05-01,4.981189221515827,2.4643508585343583,2021-2022,1
2021-06-01,4.8395865369357285,2.785900375045813,2021-2022,1
2021-07-01,4.704433873930148,3.1014157834893954,2021-2022,1
2021-08-01,4.568008295887757,3.3632373730098157,2021-2022,1
2021-09-01,4.390059358186537,3.5901369460131485,2021-2022,1
2021-10-01,4.313333156711514,3.8187680271829985,2021-2022,1
2021-11-01,4.202834462526004,3.897125323584083,2021-2022,1
2021-12-01,4.1760970409368365,3.9582763913142487,2021-2022,1
2022-01-01,4.108310931057682,3.982447537705256,2021-2022,1
2022-02-01,3.9682258603721925,4.032958854907063,2021-2022,1
2022-03-01,3.852221442535385,4.050417540593452,2021-2022,1
2022-04-01,3.960296601633505,4.095190238715967,2021-2022,1
2022-05-01,3.9040566658507525,4.109170026993138,2021-2022,1
2022-06-01,3.936842928135975,4.0940622545645375,2021-2022,1
2022-07-01,3.7477567836225747,4.006999654154368,2021-2022,1
2022-08-01,3.6467179079434318,3.9376769560845517,2021-2022,1
2022-09-01,3.752160292536593,3.869899918434417,2021-2022,1
2022-10-01,3.8567980127573254,3.8204978311084417,2021-2022,1
2022-11-01,3.80315584345935,3.680131311626235,2021-2022,1
2022-12-01,3.8738685076884485,3.589877730909579,2021-2022,1
2023-01-01,3.8196513818272293,3.5102292460137865,2023,1
2023-02-01,3.899553745038091,3.50302485566246,2023,1
2023-03-01,3.9991671215055336,3.474820097012319,2023,1
2023-04-01,3.9016808030492243,3.375556150351228,2023,1
2023-05-01,4.019722795960436,3.2726819292670206,2023,1
2023-06-01,4.218053019807586,3.2275845434282524,2023,1
2023-07-01,4.327556211597602,3.1902027294869177,2023,1
2023-08-01,4.212086172279013,3.126608102680848,2023,1
2023-09-01,4.076241312011267,3.0739014238039704,2023,1
2023-10-01,3.954575159626044,2.9978343166250885,2023,1
2023-11-01,3.9291775623646004,2.987234958917484,2023,1
2023-12-01,3.8266182042345025,2.9097883421849366,2023,1
2024-01-01,3.9813395283546935,2.8898411483345368,2024-2025,1
2024-02-01,4.18392030418813,2.8647226924666636,2024-2025,1
2024-03-01,4.310349627523098,2.868325841562048,2024-2025,1
2024-04-01,4.380829368932469,2.8319592827751983,2024-2025,1
2024-05-01,4.425088922496378,2.809554120272953,2024-2025,1
2024-06-01,4.15706760399721,2.7520869755649158,2024-2025,1
2024-07-01,4.144398454095065,2.7192218198425113,2024-2025,1
2024-08-01,3.9885859726248163,2.6602349493124735,2024-2025,1
2024-09-01,4.26936181589921,2.6191647559146216,2024-2025,1
2024-10-01,4.2750074514148615,2.5539070666422345,2024-2025,1
2024-11-01,4.435019544980498,2.5041346148296526,2024-2025,1
2024-12-01,4.396165494003646,2.496082992343931,2024-2025,1
2025-01-01,4.357487251748528,2.4859396766948874,2024-2025,1
2025-02-01,4.426204289016095,2.4668284132198783,2024-2025,1
2025-03-01,4.534513681837131,2.417934216440316,2024-2025,1
2025-04-01,4.599884967953856,2.349652533568348,2024-2025,1
2025-05-01,4.672421641659937,2.2716467803818,2024-2025,1
2025-06-01,4.6601110966642185,2.2293465094467635,2024-2025,1
2025-07-01,4.660855794176395,2.212194562757594,2024-2025,9
