date,author,HDS,HDS_low,HDS_high,HDS_low_2sd,HDS_high_2sd,title,Numeric score std err,Numeric score min,Numeric score max,Prediction,Probability,Prob std err,Prediction confidence,Key quote,Quote confidence,Rationale,description,cb,url,Colour,date_popup
2023-01-10,Jerome H Powell,0.775,0.565,0.985,1,0.5,Central Bank independence and the mandate - evolving views,0.21,0.5,1,Hold,0.69,0.055,0.5,But restoring price stability when inflation is high can require measures that are not popular in the short term as we raise interest rates to slow the economy.,0.5,"The speech emphasizes the importance of price stability and the willingness to raise interest rates to achieve it. Powell's commitment to the mandate and independence suggests readiness to take necessary actions without succumbing to political pressure, implying a somewhat hawkish stance, but not explicitly signaling an imminent rate increase.","Speech by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at the International Symposium on Central Bank Independence, panel on ""Central Bank independence and the mandate - evolving views"", organised by Sveriges Riksbank, Stockholm, 10 January 2023.",Fed,http://www.bis.org/review/r230111a.htm,#440154FF,2023-01-10
2022-11-30,Jerome H Powell,0.77,0.695,0.845,0.9,0.7,Inflation and the labor market,0.075,0.7,0.9,Raise,0.825,0.026,1,We anticipate that ongoing increases will be appropriate.,0.3,"Powell acknowledges that while inflation data showed a welcome surprise to the downside, it's still much too high and there's a need for interest rates to be 'sufficiently restrictive' to bring inflation down to 2%. He signals anticipation of further rate increases, implying a somewhat hawkish stance.","Speech by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at the Hutchins Center on Fiscal and Monetary Policy, Brookings Institution, Washington DC, 30 November 2022.",Fed,http://www.bis.org/review/r221201b.htm,#440154FF,2022-11-30
2022-08-26,Jerome H Powell,0.98,0.938,1,1,0.9,Monetary policy and price stability,0.042,0.9,1,Raise,0.92,0.035,1,Restoring price stability will take some time and requires using our tools forcefully to bring demand and supply into better balance.,0.8,"Chair Powell emphasizes the necessity of forceful measures to combat inflation, signals further interest rate hikes, and draws lessons from historical periods of high inflation, indicating a strong commitment to tightening monetary policy.","Speech by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at the ""Reassessing Constraints on the Economy and Policy"" economic policy symposium sponsored by the Federal Reserve Bank of Kansas City, Jackson Hole, Wyoming, 26 August 2022.",Fed,http://www.bis.org/review/r220826b.htm,#440154FF,2022-08-26
2022-06-22,Jerome H Powell,0.95,0.897,1,1,0.9,Semiannual Monetary Policy Report to the Congress,0.053,0.9,1,Raise,0.905,0.044,1,We anticipate that ongoing rate increases will be appropriate.,0.4,"Chair Powell emphasizes the Fed's strong commitment to reducing inflation through ongoing interest rate increases, highlighting the challenging inflationary environment and the necessity of decisive action.","Testimony by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Committee on Banking, Housing, and Urban Affairs, US Senate, Washington DC, 22 June 2022.",Fed,http://www.bis.org/review/r220623c.htm,#440154FF,2022-06-22
2022-03-21,Jerome H Powell,0.94,0.859,1,1,0.75,Restoring price stability,0.081,0.75,1,Raise,0.92,0.035,1,"There is an obvious need to move expeditiously to return the stance of monetary policy to a more neutral level, and then to move to more restrictive levels if that is what is required to restore price stability.",0.8,Chair Powell emphasizes the Federal Reserve's commitment to restoring price stability through ongoing rate increases and possibly more restrictive policy if necessary. This indicates a strong hawkish stance focusing on combating high inflation.,"Speech by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at the ""Policy Options for Sustainable and Inclusive Growth"" 38th Annual Economic Policy Conference National Association for Business Economics, Washington DC, 21 March 2022.",Fed,http://www.bis.org/review/r220322a.htm,#440154FF,2022-03-21
2022-03-02,Jerome H Powell,0.825,0.674,0.976,1,0.7,Semiannual Monetary Policy Report to the Congress,0.151,0.7,1,Raise,0.87,0.054,1,We expect it will be appropriate to raise the target range for the federal funds rate at our meeting later this month.,0.5,"Chair Powell indicates a clear intention to raise interest rates in response to high inflation and a strong labor market, suggesting a somewhat hawkish stance despite the uncertainty surrounding the Ukraine conflict.","Testimony by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Committee on Financial Services, U.S. House of Representatives, Washington DC, 2 March 2022.",Fed,http://www.bis.org/review/r220302a.htm,#440154FF,2022-03-02
2022-01-11,Jerome H Powell,0.66,0.576,0.744,0.7,0.5,Testimony at nomination hearing,0.084,0.5,0.7,Raise,0.769,0.037,0.8,We are strongly committed to achieving our statutory goals of maximum employment and price stability. We will use our tools to support the economy and a strong labor market and to prevent higher inflation from becoming entrenched.,0.6,"Powell acknowledges persistent supply and demand imbalances and elevated inflation, expressing a strong commitment to prevent higher inflation from becoming entrenched, which suggests a readiness to take action to raise rates if necessary to achieve price stability.","Testimony by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the US Senate Committee on Banking, Housing, and Urban Affairs, Washington DC, 11 January 2022.",Fed,http://www.bis.org/review/r220111b.htm,#440154FF,2022-01-11
2021-08-27,Jerome H Powell,0.405,0.279,0.531,0.6,0.25,Monetary policy in the time of COVID,0.126,0.25,0.6,Hold,0.69,0.032,1,The Committee remains steadfast in our oft-expressed commitment to support the economy for as long as is needed to achieve a full recovery.,0.3,"Powell acknowledges progress towards achieving maximum employment and price stability but outlines the view that current inflation pressures are likely to be temporary. He suggests that the bond-buying program could be tapered later this year, signaling a somewhat hawkish stance. However, he emphasizes that the path for interest rate hikes involves a higher threshold, indicating a likelihood to hold on rates in the near-term.","Speech (via webcast) by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at the ""Macroeconomic Policy in an Uneven Economy,"" economic policy symposium sponsored by the Federal Reserve Bank of Kansas City, Jackson Hole, Wyoming, 27 August 2021.",Fed,http://www.bis.org/review/r210902e.htm,#440154FF,2021-08-27
2021-07-14,Jerome H Powell,0.38,0.25,0.51,0.6,0.25,Semi-annual Monetary Policy Report to the Congress,0.13,0.25,0.6,Hold,0.835,0.047,1,We continue to expect that it will be appropriate to maintain the current target range for the federal funds rate until labor market conditions have reached levels consistent with the Committee's assessment of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time.,0.4,"Powell acknowledges that inflation is elevated but expects it to moderate. The speech suggests patience with current policy to assess full economic recovery, indicating a 'Hold' decision, but the recognition of increased inflation adds a 'somewhat hawkish' tone.","Testimony by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Committee on Financial Services, U.S. House of Representatives, Washington DC, 14 July 2021.",Fed,http://www.bis.org/review/r210714d.htm,#440154FF,2021-07-14
2021-06-22,Jerome H Powell,0.33,0.235,0.425,0.5,0.2,The Federal Reserve's response to the coronavirus pandemic,0.095,0.2,0.5,Hold,0.715,0.058,1,We at the Fed will do everything we can to support the economy for as long as it takes to complete the recovery.,0.3,"Powell highlights both the improvement in economic activity and the ongoing risks, suggesting a balanced view. Despite concerns about inflation, he attributes them to transitory factors, implying no immediate change in the policy rate.","Testimony by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Select Subcommittee on the Coronavirus Crisis, U.S. House of Representatives, Washington, DC, 22 June 2021.",Fed,http://www.bis.org/review/r210622d.htm,#440154FF,2021-06-22
2021-03-23,Jerome H Powell,0.235,0.194,0.276,0.3,0.2,"Coronavirus aid, relief, and economic security act",0.041,0.2,0.3,Hold,0.725,0.072,1,"But the recovery is far from complete, so, at the Fed, we will continue to provide the economy the support that it needs for as long as it takes.",0.7,"The speech emphasizes continued support and acknowledges that the recovery is incomplete, suggesting a stance to maintain accommodative policy. This tone suggests the Fed is unlikely to raise rates and is cautious about withdrawing support too soon.","Testimony by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Committee on Financial Services, U.S. House of Representatives, 23 March 2021.",Fed,http://www.bis.org/review/r210323b.htm,#440154FF,2021-03-23
2021-02-23,Jerome H Powell,0.09,0.016,0.164,0.2,0,Semiannual Monetary Policy Report to the Congress,0.074,0,0.2,Hold,0.85,0.058,1,We expect that it will be appropriate to maintain the current accommodative target range of the federal funds rate until labor market conditions have reached levels consistent with the Committee's assessments of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time.,0.5,"Chairman Powell emphasizes that the economy is far from meeting employment and inflation targets and suggests that current accommodative policies will remain in place until substantial progress is made, indicating a dovish stance focused on maintaining low rates and supportive measures.","Testimony by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Committee on Banking, Housing, and Urban Affairs, US Senate, Washington DC, 23 February 2021.",Fed,http://www.bis.org/review/r210223e.htm,#440154FF,2021-02-23
2021-02-10,Jerome H Powell,0.185,0.103,0.267,0.3,0.1,Getting back to a strong labor market,0.082,0.1,0.3,Hold,0.715,0.058,1,A patiently accommodative monetary policy stance that embraces the lessons of the past-about the labor market in particular and the economy more generally.,0.3,"Jerome Powell emphasizes the need for a patient, accommodative monetary policy to support the labor market recovery from the pandemic. The speech acknowledges that the labor market is far from strong and highlights the Federal Reserve's commitment to maintaining low interest rates until employment and inflation targets are met. This stance is somewhat dovish, as it suggests a continued focus on supporting the economy rather than raising rates. However, given ongoing uncertainties, I predict that Powell would vote to hold rates steady at the next meeting.","Speech (via webcast) by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at the Economic Club of New York, 10 February 2021.",Fed,https://www.bis.org/review/r210211a.htm,#440154FF,2021-02-10
2020-12-01,Jerome H Powell,0.305,0.161,0.449,0.5,0.1,"Coronavirus Aid, Relief, and Economic Security Act",0.144,0.1,0.5,Hold,0.71,0.057,1,We are committed to using our full range of tools to support the economy and to help assure that the recovery from this difficult period will be as robust as possible.,0.5,"The speech emphasizes continued economic support and the unprecedented use of monetary tools without signaling immediate steps towards tightening policy or raising rates. There is an acknowledgment of economic recovery but also great uncertainty concerning the pandemic, suggesting that policy will remain accommodative in the foreseeable future.","Testimony of Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Committee on Banking, Housing, and Urban Affairs, US Senate, Washington, DC, 1 December 2020.",Fed,https://www.bis.org/review/r201201a.htm,#440154FF,2020-12-01
2020-10-06,Jerome H Powell,0.205,0.122,0.288,0.3,0.1,Recent economic developments and the challenges ahead,0.083,0.1,0.3,Hold,0.785,0.078,1,"At this early stage, I would argue that the risks of policy intervention are still asymmetric. Too little support would lead to a weak recovery, creating unnecessary hardship for households and businesses.",0.2,"Powell emphasizes the necessity of continued economic support, expressing concern that inadequate measures could lead to a weaker recovery. His inclination towards maintaining strong policy measures to ensure recovery showcases a dovish stance.","Speech by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at the National Association for Business Economics Virtual Annual Meeting, 6 October 2020.",Fed,https://www.bis.org/review/r201007b.htm,#440154FF,2020-10-06
2020-09-22,Jerome H Powell,0.15,0.053,0.247,0.3,0,"Coronavirus Aid, Relief and Economic Security Act",0.097,0,0.3,Hold,0.76,0.07,1,"We remain committed to using our tools to do what we can, for as long as it takes, to ensure that the recovery will be as strong as possible, and to limit lasting damage to the economy.",0.6,"The speech emphasizes ongoing economic challenges and commitment to prolonged accommodative policies, indicating a dovish stance despite some economic improvements.","Speech by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Committee on Financial Services, US House of Representatives, Washington DC, 22 September 2020.",Fed,https://www.bis.org/review/r200922a.htm,#440154FF,2020-09-22
2020-08-27,Jerome H Powell,0.275,0.233,0.317,0.35,0.2,New economic challenges and the Fed's monetary policy review,0.042,0.2,0.35,Hold,0.69,0.039,1,"To prevent this outcome and the adverse dynamics that could ensue, our new statement indicates that we will seek to achieve inflation that averages 2 percent over time.",0.4,"Powell's emphasis on addressing inflation shortfalls and achieving average inflation above 2% indicates a shift towards a more accommodative monetary policy stance. This suggests that preventing low inflation takes precedence over immediate rate hikes, aligning with a 'hold' prediction for the next meeting.","Speech (via webcast) by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at ""Navigating the Decade Ahead: Implications for Monetary Policy"", an economic policy symposium sponsored by the Federal Reserve Bank of Kansas City, Jackson Hole, Wyoming, 27 August 2020.",Fed,https://www.bis.org/review/r200827d.htm,#440154FF,2020-08-27
2020-06-30,Jerome H Powell,0.18,0.105,0.255,0.3,0.1,Coronavirus and CARES Act,0.075,0.1,0.3,Hold,0.765,0.075,1,"In March, we lowered our policy interest rate to near zero, and we expect to maintain interest rates at this level until we are confident that the economy has weathered recent events and is on track to achieve our maximum-employment and price-stability goals.",0.4,"The speech highlights the considerable economic challenges posed by the COVID-19 pandemic and outlines the Federal Reserve's aggressive measures to support economic stability, including maintaining interest rates at near-zero levels. While acknowledging some positive economic trends, Powell emphasizes uncertainty and the need for continued support, suggesting a somewhat dovish stance aimed at sustaining economic recovery.","Testimony of Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Committee on Financial Services, US House of Representatives, Washington DC, 30 June 2020.",Fed,https://www.bis.org/review/r200716d.htm,#440154FF,2020-06-30
2020-06-16,Jerome H Powell,0.08,0.017,0.143,0.2,0,Semiannual Monetary Policy Report to the Congress,0.063,0,0.2,Hold,0.825,0.049,1,We expect to maintain interest rates at this level until we are confident that the economy has weathered recent events and is on track to achieve our maximum-employment and price-stability goals.,0.9,"Chair Powell emphasizes maintaining low interest rates and supporting economic recovery amidst considerable uncertainty due to the pandemic. The focus on using a full range of tools to support the economy and stable prices suggests a dovish stance, advocating for holding rates steady rather than raising them.","Testimony by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Committee on Banking, Housing, and Urban Affairs, US Senate, Washington DC, 16 June 2020.",Fed,https://www.bis.org/review/r200616b.htm,#440154FF,2020-06-16
2020-05-19,Jerome H Powell,0.06,0.008,0.112,0.1,0,Coronavirus and CARES Act,0.052,0,0.1,Hold,0.87,0.079,1,"In March, we lowered our policy interest rate to near zero, and we expect to maintain interest rates at this level until we are confident that the economy has weathered recent events and is on track to achieve our maximum-employment and price-stability goals.",0.4,"Powell's speech indicates a strong commitment to supporting the economy through low interest rates and extensive measures, reflecting a highly dovish stance focused on economic recovery amid the pandemic.","Testimony by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Committee on Banking, Housing, and Urban Affairs, US Senate, Washington DC, 19 May 2020.",Fed,https://www.bis.org/review/r200519a.htm,#440154FF,2020-05-19
2020-05-13,Jerome H Powell,0.105,0.004,0.206,0.3,0,Current economic issues,0.101,0,0.3,Hold,0.785,0.053,1,"At the Fed, we will continue to use our tools to their fullest until the crisis has passed and the economic recovery is well under way.",0.7,"Jerome Powell's speech emphasizes the unprecedented economic challenges caused by the pandemic and the extraordinary measures taken to support the economy. His focus on significant downside risks, the need for continued support, and the uncertainty surrounding the recovery suggests a dovish stance, which aligns with current low interest rates. The probability to hold rates is high given his comments about the need for additional policy measures.","Speech (via webcast) by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at the Peterson Institute for International Economics, Washington DC, 13 May 2020.",Fed,https://www.bis.org/review/r200513a.htm,#440154FF,2020-05-13
2020-04-09,Jerome H Powell,0.05,0,0.103,0.1,0,Covid-19 and the economy,0.053,0,0.1,Hold,0.835,0.053,1,We have lowered interest rates to near zero in order to bring down borrowing costs.,0.5,"Powell's speech emphasizes maintaining low interest rates to support economic stability in response to the COVID-19 crisis. The commitment to keep rates low signals a dovish stance, focusing on providing relief and aiding recovery rather than tightening policy. However, considering the severe economic conditions, the most likely action is to hold rates steady at already low levels.","Speech (via webcast)by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at the Hutchins Center on Fiscal and Monetary Policy, The Brookings Institution, Washington DC, 9 April 2020.",Fed,https://www.bis.org/review/r200409b.htm,#440154FF,2020-04-09
2020-02-11,Jerome H Powell,0.455,0.359,0.551,0.5,0.25,Semiannual Monetary Policy Report to the Congress,0.096,0.25,0.5,Hold,0.81,0.07,1,"The FOMC believes that the current stance of monetary policy will support continued economic growth, a strong labor market, and inflation returning to the Committee's symmetric 2 percent objective.",0.7,"Powell's speech emphasized stability and readiness to respond if major changes occur, lacking a push for immediate change in rates, which suggests a neutral stance.","Testimony by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Committee on Financial Services, US House of Representatives, Washington DC, 11 February 2020.",Fed,https://www.bis.org/review/r200211g.htm,#440154FF,2020-02-11
2019-11-25,Jerome H Powell,0.34,0.243,0.437,0.5,0.2,Building on the gains from the long expansion,0.097,0.2,0.5,Hold,0.735,0.067,1,"We see the current stance of monetary policy as likely to remain appropriate as long as incoming information about the economy remains broadly consistent with our outlook of moderate economic growth, a strong labor market, and inflation near our symmetric 2 percent objective.",0.4,"Chair Powell discusses the need to maintain supportive monetary policy due to muted inflation and uncertainties, such as global growth risks and trade issues, while citing the importance of not letting inflation fall below target. This indicates a dovish leaning but not entirely dovish given the intent to hold rates steady barring significant changes.","Speech by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at the Annual Meeting of the Greater Providence Chamber of Commerce, Providence, Rhode Island, 25 November 2019.",Fed,https://www.bis.org/review/r191126b.htm,#440154FF,2019-11-25
2019-11-13,Jerome H Powell,0.44,0.343,0.537,0.5,0.3,The economic outlook,0.097,0.3,0.5,Hold,0.745,0.09,1,"We see the current stance of monetary policy as likely to remain appropriate as long as incoming information about the economy remains broadly consistent with our outlook of moderate economic growth, a strong labor market, and inflation near our symmetric 2 percent objective.",0.7,"Powell's speech acknowledges the current economic growth and strong labor market while citing subdued inflation expectations and global risks, suggesting a balanced view towards holding rates steady unless there is a material change in the economic outlook.","Testimony by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Joint Economic Committee, US Congress, Washington DC, 13 November 2019.",Fed,https://www.bis.org/review/r191113a.htm,#440154FF,2019-11-13
2019-10-09,Jerome H Powell,0.475,0.396,0.554,0.5,0.25,"Opening remarks - ""Community Listening Session""",0.079,0.25,0.5,Hold,0.75,0.071,1,Our job is to keep it there as long as possible.,0.5,"Chair Powell acknowledges current economic strength but also highlights concerns about low inflation and interest rates, which limit the Fed's ability to cut rates in downturns. This caution suggests a likelihood of holding rates steady while assessing further strategies.","Opening remarks by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at a ""Community Listening Session"", a Fed Listens event at the Federal Reserve Bank of Kansas City, Kansas City, Missouri, 9 October 2019.",Fed,https://www.bis.org/review/r191009e.htm,#440154FF,2019-10-09
2019-10-08,Jerome H Powell,0.335,0.247,0.423,0.5,0.25,Data-dependent monetary policy in an evolving economy,0.088,0.25,0.5,Cut,0.65,0.05,0.5,"Looking ahead, policy is not on a preset course. The next FOMC meeting is several weeks away, and we will be carefully monitoring incoming information.",0.5,Chair Powell acknowledges global risks and the need for policy adaptation. Emphasis on data dependency and recent rate cuts imply a predisposition toward further easing if negative economic indicators persist.,"Speech by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at ""Trucks and Terabytes: Integrating the 'Old' and 'New' Economies"", 61st Annual Meeting of the National Association for Business Economics, Denver, Colorado, 8 October 2019.",Fed,https://www.bis.org/review/r191008i.htm,#440154FF,2019-10-08
2019-10-04,Jerome H Powell,0.445,0.349,0.541,0.5,0.25,"Opening remarks - ""Perspectives on Maximum Employment and Price Stability""",0.096,0.25,0.5,Hold,0.67,0.067,1,Our job is to keep it there as long as possible.,0.2,"Jerome Powell highlights that the economy is in 'a good place' with low unemployment and inflation close to target, suggesting no immediate need to change policy. The focus is on reviewing existing strategies and tools, indicating a neutral stance likely leaning towards holding rates steady.","Opening remarks by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at ""Perspectives on Maximum Employment and Price Stability"", a Fed Listens event sponsored by the Board of Governors of the Federal Reserve System, Washington DC, 4 October 2019.",Fed,https://www.bis.org/review/r191007b.htm,#440154FF,2019-10-04
2019-08-23,Jerome H Powell,0.28,0.226,0.334,0.4,0.2,Challenges for monetary policy,0.054,0.2,0.4,Cut,0.7,0.024,1,"Based on our assessment of the implications of these developments, we will act as appropriate to sustain the expansion, with a strong labor market and inflation near its symmetric 2 percent objective.",0.6,"Powell highlights several downside risks such as slowing global growth, trade policy uncertainty, and muted inflation, indicating a focus on sustaining the expansion. This context suggests a tilt towards a cut in rates to address these uncertainties.","Remarks by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at ""Challenges for Monetary Policy"", a symposium sponsored by the Federal Reserve Bank of Kansas City, Jackson Hole, Wyoming, 23 August 2019.",Fed,https://www.bis.org/review/r190823a.htm,#440154FF,2019-08-23
