Date,Quote,Significance,Central Banker,geo,Source..link,Stance,Position,Voter,Scale value,Active
2025-10-31T00:00:00Z,"I'm going to say every meeting is live, we're not on a preset course, we're going to let the information guide us.",Bostic indicates that he is still undecided about December.,Raphael Bostic,Fed,NA,Centrist,Atlanta,No,50,Yes
2025-10-31T00:00:00Z,I did not see a need to cut rates this week. And I’d find it difficult to cut rates again in December unless there is clear evidence that inflation will fall faster than expected or that the labor market will cool more rapidly.,NA,Lorie Logan,Fed,NA,Hawk,Dallas,No,100,Yes
2025-10-31T00:00:00Z,"I do not think a 25-basis point reduction in the policy rate will do much to address stresses in the labor market that more likely than not arise from structural changes in technology and demographics [...] However, a cut could have longer-lasting effects on inflation if the Fed’s commitment to its 2% inflation objective comes into question.",Schmid explains his dissent at the Fed's October meeting.,Jeffrey Schmid,Fed,NA,Hawk,Kansas City,Yes,100,Yes
2025-10-31T00:00:00Z,I would have preferred to have held rates steady at this meeting.,NA,Beth Hammack,Fed,NA,Hawk,Cleveland,No,100,Yes
2025-10-29T00:00:00Z,"A further reduction in the policy rate at the December meeting is not a foregone conclusion, far from it.",Powell suggests that the lack of economic data given the government shutdown may prompt the Fed to pause easing from December.,Jerome Powell,Fed,NA,Hawkish,Chair,Yes,75,Yes
2025-10-17T00:00:00Z,"If I were to guess which mistake we're more likely making, I think we're more likely betting that the economy is really slowing more than it really is.",NA,Neel Kashkari,Fed,NA,Hawkish,Minneapolis,No,75,Yes
2025-10-17T00:00:00Z,I could support a path with an additional reduction in the policy rate if there are further risks to the labor market that emerge.,NA,Alberto Musalem,Fed,NA,Dovish,St. Louis,Yes,25,Yes
2025-10-16T00:00:00Z,"While consumers are still spending, we are not in 2022 anymore. Consumers are not as flush",Barkin highlights downside risks to the economy.,Thomas Barkin,Fed,NA,Dovish,Richmond,No,25,Yes
2025-10-16T00:00:00Z,What I would want to avoid is rekindling inflationary pressure by moving too quickly and squandering the significant progress we have made taming inflation,"Waller suggests that he would not be supportive of large cuts, and would be careful about backing many sequential cuts.",Christopher Waller,Fed,NA,Dovish,Board of governors,Yes,25,Yes
2025-10-16T00:00:00Z,"If monetary policy stays as restrictive as it is, and you have a [trade] shock like this hit the economy, it does materially increase the negative consequences of that shock.",NA,Stephen Miran,Fed,NA,Dove,Board of governors,Yes,0,Yes
2025-10-14T00:00:00Z,I continue to see two more cuts before the end of this year.,NA,Michelle Bowman,Fed,NA,Centrist,Board of governors,Yes,50,Yes
2025-10-14T00:00:00Z,"You’ve had this amazing time where you came straight down, but I just think you’re going to reach a point where unemployment starts to go up.",Powell indicates that he remains more concerned about potential weakness in the labour market than about above-target inflation.,Jerome Powell,Fed,NA,Centrist,Chair,Yes,50,Yes
2025-10-14T00:00:00Z,"With inflation risks somewhat more contained, but greater downside risks to employment, it seems prudent to normalize policy a bit further this year to support the labor market.",NA,Susan Collins,Fed,NA,Centrist,Boston,Yes,50,Yes
2025-10-13T00:00:00Z,"Labor market risks do appear to be increasing - not outrageously, but noticeably. And momentum seems to be going in the wrong direction.",Paulson suggests she sees further rate cuts as appropriate.,Anna Paulson,Fed,NA,Centrist,Philadelphia,No,50,Yes
2025-10-10T00:00:00Z,We're to a point now where the softening in the labor market looks like it could be more worrisome if we don't risk manage it.,NA,Mary Daly,Fed,NA,Dovish,San Francisco,No,25,Yes
2025-10-10T00:00:00Z,"The labor market is weak, and that’s the punchline for policy, that’s what we need to know.","Waller suggests that he backs aggressive easing, as the labour market risks far outweigh upside inflation risks.",Christopher Waller,Fed,NA,Dove,Board of governors,Yes,0,Yes
2025-10-10T00:00:00Z,"We need to cut rates. But we need to be kind of cautious about it ... Do 25 (basis points), keep going, see how it goes.",Waller suggests that he would not support a larger-sized cut.,Christopher Waller,Fed,NA,Centrist,Board of governors,Yes,50,Yes
2025-10-10T00:00:00Z,I am open-minded about a potential further reduction in interest rates to provide further insurance against labor market weakening.,"Musalem, normally a hawk, opens the door to further rate cuts.",Alberto Musalem,Fed,NA,Centrist,St. Louis,Yes,50,Yes
2025-10-09T00:00:00Z,"There’s more downside risks to the labor market and employment, and that is something that takes some of the upside risk off of inflation.",Williams indicates that he supports further easing.,John Williams,Fed,NA,Centrist,President,Yes,50,Yes
2025-10-09T00:00:00Z,"Common sense would indicate that when there is a lot of uncertainty, one should move cautiously.",NA,Michael Barr,Fed,NA,Hawkish,Board of governors,Yes,75,Yes
2025-10-07T00:00:00Z,My forecast for inflation is more sanguine than some of my colleagues [...] So I view the mandate as less in tension than some others do.,NA,Stephen Miran,Fed,NA,Dove,Board of governors,Yes,0,Yes
2025-10-07T00:00:00Z,"If you try to drive the economy faster than its potential to grow and its potential to produce prices, you end up just going up across the economy.",NA,Neel Kashkari,Fed,NA,Centrist,Minneapolis,No,50,Yes
2025-10-06T00:00:00Z,"Overall, given the state of the economy and financial markets, I view the current stance of policy as only slightly restrictive, which I think is the right place to be.",Schmid suggests that he would not support further cuts.,Jeffrey Schmid,Fed,NA,Hawk,Kansas City,Yes,100,Yes
2025-10-05T00:00:00Z,I'm a little wary about front-loading too many rate cuts and just counting on the inflation going away.,NA,Austan Goolsbee,Fed,NA,Hawkish,Chicago,Yes,75,Yes
2025-10-03T00:00:00Z,"My view is that if policy is out of whack, you should adjust it at a reasonably ... brisk pace.",NA,Stephen Miran,Fed,NA,Dove,Board of governors,Yes,0,Yes
2025-10-03T00:00:00Z,We really need to be cautious about further rate cuts from here.,Logan indicates that she would be sceptical of further rate reductions.,Lorie Logan,Fed,NA,Hawkish,Dallas,No,75,Yes
2025-10-03T00:00:00Z,"I will continue to evaluate the appropriate stance of monetary policy based on the incoming data, the evolving outlook and the balance of risks.",NA,Philip Jefferson,Fed,NA,Centrist,Vice chair,Yes,50,Yes
2025-10-02T00:00:00Z,My forecast has a little bit slower of a normalization of the policy path in order to make sure we get all the way to 2%. So it will take some time.,NA,Lorie Logan,Fed,NA,Hawkish,Dallas,No,75,Yes
2025-10-01T00:00:00Z,I continue to be worried about where we are from an inflation perspective [...] I think we really need to maintain a restrictive stance for policy.,NA,Beth Hammack,Fed,NA,Hawkish,Cleveland,No,75,Yes
2025-10-01T00:00:00Z,"The combination of persistent inflation, resilient demand and modest labor market slack indicates to me that policy is likely only modestly restrictive [...] There may be relatively little room to make additional rate cuts.",Logan shows very limited support for additional rate cuts.,Lorie Logan,Fed,NA,Hawkish,Dallas,No,75,Yes
2025-09-30T00:00:00Z,I’m open minded to future potential reductions in interest rates [...] I do believe we need to tread cautiously because the room between now and the point where policy could become overly accommodative is limited.,"Musalem suggests openness to limited further cuts, but will not greenlight deep or rapid rate reductions.",Alberto Musalem,Fed,NA,Centrist,St. Louis,Yes,50,Yes
2025-09-30T00:00:00Z,"I think a little more will be be needed over time to get that interest rate where it’s balancing out those two risks [... cutting] too quickly and certainly announcing, oh yeah, we're just going to…keep going until we get to neutral, that seems to me to be a scenario where the risks to inflation go up, and that's not consistent, I think, with following through on our mandate.",Collins suggests that she does not support jumbo rate cuts.,Susan Collins,Fed,NA,Centrist,Boston,Yes,50,Yes
2025-09-30T00:00:00Z,"With respect to the path of the policy rate going forward, I will continue to evaluate the appropriate stance of monetary policy based on the incoming data, the evolving outlook and the balance of risks.",NA,Philip Jefferson,Fed,NA,Centrist,Vice chair,Yes,50,Yes
2025-09-29T00:00:00Z,"The tariff effects have been smaller than most people thought, and there doesn’t seem to be any signs of inflationary pressures building.","Williams suggests that, in his estimation, the threats of an inflationary overshoot from tariffs are lower than he originally thought.",John Williams,Fed,NA,Dovish,President,Yes,25,Yes
2025-09-26T00:00:00Z,"Both of them have ticked in the wrong direction — but on the other hand, the downside is limited, and we’re just going to have to adjust our stance as we learn more.",NA,Thomas Barkin,Fed,NA,Centrist,Richmond,No,50,Yes
2025-09-26T00:00:00Z,"We are at serious risk of already being behind the curve in addressing deteriorating labor market conditions [...] should these conditions continue, I am concerned that we will need to adjust policy at a faster pace and to a larger degree going forward.",Bowman indicates that she could support jumbo rate reductions in the future.,Michelle Bowman,Fed,NA,Dove,Board of governors,Yes,0,Yes
2025-09-25T00:00:00Z,"My view is that inflation remains too high while the labor market, though cooling, still remains largely in balance.",Schmid indicates that he will not support further rate reductions for now.,Jeffrey Schmid,Fed,NA,Hawk,Kansas City,Yes,100,Yes
2025-09-25T00:00:00Z,"We’ll have to continue to make that assessment in the coming meetings, not just the meetings that come before the end of the year, but the next several meetings.",NA,Mary Daly,Fed,NA,Centrist,San Francisco,No,50,Yes
2025-09-25T00:00:00Z,Heavy front-loading of cuts before you know whether this is all there's going to be on inflation and before you know whether this inflation is going to be persistent runs a risk of a mistake.,Goolsbee indicates he might not support back-to-back cuts.,Austan Goolsbee,Fed,NA,Hawkish,Chicago,Yes,75,Yes
2025-09-25T00:00:00Z,We have a more fragile labour market than we were expecting to see [...] we should be shifting our focus to pre-emptively and proactively supporting labour market conditions.,NA,Michelle Bowman,Fed,NA,Dovish,Board of governors,Yes,25,Yes
2025-09-25T00:00:00Z,"My view is that we can get there in a very short series of 50-basis-point cuts, readjust monetary policy, and then move more gingerly once we’re there.",Miran indicates that he will again vote for a 50bps rate reduction at coming meetings.,Stephen Miran,Fed,NA,Dove,Board of governors,Yes,0,Yes
2025-09-24T00:00:00Z,I’m uncomfortable with overly front loading a lot of rate cuts on the presumption that it will probably just be transitory and go away.,NA,Austan Goolsbee,Fed,NA,Hawkish,Chicago,Yes,75,Yes
2025-09-23T00:00:00Z,"If we ease too aggressively, we could leave the inflation job unfinished and need to reverse course later to fully restore two percent inflation. If we maintain restrictive policy too long, the labor market could soften unnecessarily.",Powell does not give hints about the Fed's next rate move.,Jerome Powell,Fed,NA,Centrist,Chair,Yes,50,Yes
2025-09-23T00:00:00Z,"It is likely that further policy adjustments will be needed as we work to restore price stability while providing needed support to the labor market [...] But these are projections, not promises, and making good decisions will require us to anchor on our objectives, assess the trade-offs and decide, again and again.","Daly suggests that her preference would be to determine policy on the basis of data in the coming months, and that while more easing is likely the pace will depend on the data.",Mary Daly,Fed,NA,Centrist,San Francisco,No,50,Yes
2025-09-23T00:00:00Z,The upshot is that monetary policy is well into restrictive territory [...] Leaving short-term interest rates roughly 2 percentage points too tight risks unnecessary layoffs and higher unemployment.,NA,Stephen Miran,Fed,NA,Dove,Board of governors,Yes,0,Yes
2025-09-23T00:00:00Z,"But with inflation having been over the target for four-and-a-half years in a row, and rising, I think we need to be a little careful with getting overly, up-front aggressive.",NA,Austan Goolsbee,Fed,NA,Hawkish,Chicago,Yes,75,Yes
2025-09-23T00:00:00Z,I think it’s incumbent upon us to continue to stay vigilant in the fight against inflation.,Bostic indicates scepticism over the prospect of further rate cuts.,Raphael Bostic,Fed,NA,Hawk,Atlanta,No,100,Yes
2025-09-22T00:00:00Z,I believe the risk of a sharp increase in unemployment warrants the committee taking some action to support the labor market.,NA,NA,Fed,NA,NA,NA,NA,75,No
2025-09-22T00:00:00Z,"It worries me that if we remove that restriction from the economy, things could start overheating again.",NA,Beth Hammack,Fed,NA,Hawk,Cleveland,No,100,Yes
2025-09-22T00:00:00Z,I believe there is limited room for easing further without policy becoming overly accommodative.,NA,Alberto Musalem,Fed,NA,Hawk,St. Louis,Yes,100,Yes
2025-09-22T00:00:00Z,"I think moving forward, the data is going to be really important and here’s what I would say. Forecasting is really hard these days and so I still have one cut down for the year.",NA,Raphael Bostic,Fed,NA,Hawk,Atlanta,No,100,Yes
2025-09-22T00:00:00Z,I believe the risk of a sharp increase in unemployment warrants the committee taking some action to support the labor market.,NA,Stephen Miran,Fed,NA,Dove,Board of governors,Yes,0,Yes
2025-09-19T00:00:00Z,The longer you stay very restrictive the greater the risks of significant misses to the employment mandate.,NA,Neel Kashkari,Fed,NA,Dovish,Minneapolis,No,25,Yes
2025-09-17T00:00:00Z,You tend to do [large rate cuts] when you feel that policy has to move quickly to a new place [ . . . ] that’s not at all what I feel.,Powell inidcates that the data will have to support further rate reductions and that the Fed is not on a pre-set path.,Jerome Powell,Fed,NA,Centrist,Chair,Yes,50,Yes
2025-09-05T00:00:00Z,I want to get more information. I’m still undecided as we’re going into this [...] We’ve got to look at the inflation side too.,"Goolsbee indicates that he is not fully comfortable with the idea of a September rate cut, indicating some resistance to easing among rate-setters.",Austan Goolsbee,Fed,NA,Hawkish,Chicago,Yes,75,Yes
2025-09-04T00:00:00Z,I anticipate it will become appropriate to move interest rates toward a more neutral stance over time.,"Williams opens the door to rate cuts, without specifying the exact timeline.",John Williams,Fed,Hat Tip to the Data - FEDERAL RESERVE BANK of NEW YORK,Centrist,President,Yes,50,Yes
2025-09-04T00:00:00Z,"I believe that, while price stability remains the primary concern, the labor market is slowing enough that some easing in policy — probably on the order of 25 basis points — will be appropriate over the remainder of this year.",NA,Raphael Bostic,Fed,NA,Centrist,Atlanta,No,50,Yes
2025-09-03T00:00:00Z,[The data] suggests that interest rates have some room to come down gently over the next couple of years.,Kashkari forecasts additional rate reductions.,Neel Kashkari,Fed,NA,Centrist,Minneapolis,No,50,Yes
2025-09-03T00:00:00Z,"Looking ahead, I expect the labor market to gradually cool and remain near full employment with risks tilted to the downside [... recent data] have further increased my perception of downside risks to the labor market.","Musalem indicates that he sees increasing threats to the labour market, increasing the likelihood that he will vote for a near term cut.",Alberto Musalem,Fed,NA,Centrist,St. Louis,Yes,50,Yes
2025-09-03T00:00:00Z,"I would say over the next three to six months, we could see multiple cuts coming in.",Waller opens the door to more rate cuts beyond September.,Christopher Waller,Fed,NA,Dove,Board of governors,Yes,0,Yes
2025-08-29T00:00:00Z,It will soon be time to recalibrate policy to better match our economy.,Daly indicates support for a September rate cut.,Mary Daly,Fed,NA,Dove,San Francisco,No,0,Yes
2025-08-28T00:00:00Z,"Based on what I know today, I would support a 25 basis point cut.",Waller indicates that a jumbo 50 basis point cut would not be appropriate in September.,Christopher Waller,Fed,Speech by Governor Waller on the economic outlook - Federal Reserve Board,Dove,Board of governors,Yes,0,Yes
2025-08-26T00:00:00Z,"I make the best call I can on the day, with all the information.",NA,Thomas Barkin,Fed,NA,Centrist,Richmond,No,50,Yes
2025-08-23T00:00:00Z,"I will be updating my outlook and balance of risks all the way up and until two days, three days before the meeting.",Musalem indicates that he is not necessarily leaning towards a September cut.,Alberto Musalem,Fed,NA,Centrist,St. Louis,Yes,50,Yes
2025-08-22T00:00:00Z,"With policy in restrictive territory, the baseline outlook and the shifting balance of risks may warrant adjusting our policy stance.",Powell signals that a Fed rate cut may be imminent.,Jerome Powell,Fed,NA,Dovish,Chair,Yes,25,Yes
2025-08-22T00:00:00Z,"It’s a dangerous data point, I’m hoping that that’s bit of a blip.",NA,Austan Goolsbee,Fed,NA,Dovish,Chicago,Yes,25,Yes
2025-08-22T00:00:00Z,The risks of worsening labor market conditions relative to those risks of elevated inflation…then it may be appropriate soon to begin dialing back,NA,Susan Collins,Fed,NA,Dovish,Boston,Yes,25,Yes
2025-08-21T00:00:00Z,"I would just say in today’s world, every point estimate or forecast has a wide confidence band around it,” and “I’m not stuck on anything.",NA,Raphael Bostic,Fed,NA,Centrist,Atlanta,No,50,Yes
